palaeodemography	paleodemography
palaeoecology	paleoecology
palaeoenvironment	paleoenvironment
palaeoethnobotany	paleoethnobotany
Palaeogene	Paleogene
palaeogeography	paleogeography
palaeography	paleography
palaeolatitude	paleolatitude
Palaeolithic	Paleolithic
palaeomagnetism	paleomagnetism
palaeontology	paleontology
palaeopathology	paleopathology
palaeopole	paleopole
palaeosol	paleosol
palaeotemperature	paleotemperature
Palaeotropical	Paleotropical
Palaeozoic	Paleozoic
panelling	paneling
panellist	panelist
paraesthesia	paresthesia
paralyse	paralyze
paralysed	paralyzed
parasitaemia	parasitemia
parlour	parlor
particoloured	particolored
pay cheque	paycheck
pentobarbitone	pentobarbital
per cent	percent
pharmacopoeia	pharmacopeia
philtre	philter
phonaesthesia	phonesthesia
phonaesthetics	phonesthetics
phytohaemagglutinin	phytohemagglutinin
piastre	piaster
piccaninny	pickaninny
pickaxe	pickax
ping-pong	Ping-Pong
placenta praevia	placenta previa
plasmolyse	plasmolyze
plough	plow
ploughland	plowland
ploughman	plowman
ploughshare	plowshare
poleaxe	poleax
polycythaemia	polycythemia
polysulphide	polysulfide
Pozidriv	Poz-i-Driv
practise	practice
practised	practiced
praetor	pretor
praetorian	pretorian
pretence	pretense
preterite	preterit
prise	prize
programme	program
programmer	programer
prologue	prolog
pyaemia	pyemia
pyjamas	pajamas
pyorrhoea	pyorrhea
pyrolyse	pyrolyze
quarrelled	quarreled
quarrelling	quarreling
rancour	rancor
reanalyse	reanalyze
recolour	recolor
reconnoitre	reconnoiter
remould	remold
reveller	reveler
rigour	rigor
rumour	rumor
sabre	saber
saleable	salable
saltpetre	saltpeter
saviour	savior
savour	savor
savoury	savory
sceptical	skeptical
sceptre	scepter
seborrhoea	seborrhea
second thoughts	second thought
self-fulfilment	self-fulfillment
septicaemia	septicemia
sepulchre	sepulcher
shrivelled	shriveled
signal box	signal tower
signalled	signaled
signalling	signaling
smart-arse	smart-ass
smoulder	smolder
snowplough	snowplow
somaesthetic	somesthetic
sombre	somber
spectre	specter
spiraea	spirea
spirochaete	spirochete
splendour	splendor
staunch	stanch
stepmum	stepmom
stilboestrol	stilbestrol
succour	succor
sulpha	sulfa
sulphadiazine	sulfadiazine
sulphadimidine	sulfadimidine
sulphamate	sulfamate
sulphamethoxazole	sulfamethoxazole
sulphamic acid	sulfamic acid
sulphanilamide	sulfanilamide
sulphapyridine	sulfapyridine
sulphasalazine	sulfasalazine
sulphate	sulfate
sulphide	sulfide
sulphite	sulfite
sulphonamide	sulfonamide
sulphonate	sulfonate
sulphone	sulfone
sulphonic acid	sulfonic acid
sulphonyl	sulfonyl
sulphur	sulfur
sulphurated	sulfurated
sulphureous	sulfureous
sulphuretted hydrogen	sulfureted hydrogen
sulphuric	sulfuric
sulphurous	sulfurous
supermum	supermom
synaesthesia	synesthesia
syrup	sirup
syrupy	sirupy
tabouret	taboret
tachypnoea	tachypnea
